#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
MEI9850135.1         -          hits_all_aligned     -            1.8e-56  206.2   1.0   1.9e-56  206.1   1.0   1.0   1   0   0   1   1   1   1 lasso peptide biosynthesis B2 protein [Sphingomonas sp.]
WP_277792965.1       -          hits_all_aligned     -            2.5e-56  205.7   1.2   2.8e-56  205.6   1.2   1.0   1   0   0   1   1   1   1 lasso peptide biosynthesis B2 protein [Caulobacter endophyticus]
HVJ02999.1           -          hits_all_aligned     -            2.7e-56  205.6   2.0   2.9e-56  205.5   2.0   1.0   1   0   0   1   1   1   1 lasso peptide biosynthesis B2 protein [Sphingomonas sp.]
PKP92523.1           -          hits_all_aligned     -            5.8e-56  204.5   3.2   6.3e-56  204.4   3.2   1.0   1   0   0   1   1   1   1 MAG: hypothetical protein CVT77_08680 [Alphaproteobacteria bacterium HGW-Alphaproteobacteria-16]
WP_316696888.1       -          hits_all_aligned     -            9.3e-56  203.8   4.1   1.1e-55  203.6   4.1   1.0   1   0   0   1   1   1   1 lasso peptide biosynthesis B2 protein [Xanthomonas hydrangeae]
WP_063510607.1       -          hits_all_aligned     -            1.1e-55  203.6   4.4   1.5e-55  203.2   4.4   1.2   1   0   0   1   1   1   1 MULTISPECIES: lasso peptide biosynthesis B2 protein [Erythrobacteraceae]
WP_211926433.1       -          hits_all_aligned     -            1.2e-55  203.5   4.0   1.3e-55  203.4   4.0   1.0   1   0   0   1   1   1   1 lasso peptide biosynthesis B2 protein [Coralloluteibacterium stylophorae]
WP_171009869.1       -          hits_all_aligned     -            1.5e-55  203.2   3.4   1.8e-55  202.9   3.4   1.1   1   0   0   1   1   1   1 lasso peptide biosynthesis B2 protein [Novosphingobium subterraneum]
WP_023905251.1       -          hits_all_aligned     -            1.8e-55  202.9   1.9   2.1e-55  202.7   1.9   1.0   1   0   0   1   1   1   1 lasso peptide biosynthesis B2 protein [Xanthomonas hortorum]
WP_179220868.1       -          hits_all_aligned     -            2.9e-55  202.2   1.9   3.2e-55  202.1   1.9   1.0   1   0   0   1   1   1   1 lasso peptide biosynthesis B2 protein [Edaphosphingomonas laterariae]
WP_348974962.1       -          hits_all_aligned     -            3.1e-55  202.1   2.0   3.4e-55  202.0   2.0   1.0   1   0   0   1   1   1   1 lasso peptide biosynthesis B2 protein [Sphingomonas sp. KR3-1]
MBN91534.1           -          hits_all_aligned     -            4.1e-55  201.8   4.7   5.9e-55  201.2   4.7   1.2   1   0   0   1   1   1   1 hypothetical protein [Erythrobacteraceae bacterium]
WP_310232510.1       -          hits_all_aligned     -            5.2e-55  201.4   0.4   6.1e-55  201.2   0.4   1.0   1   0   0   1   1   1   1 lasso peptide biosynthesis B2 protein [Luteimonas terrae]
WP_339967572.1       -          hits_all_aligned     -            5.6e-55  201.3   0.7   7.3e-55  200.9   0.7   1.2   1   0   0   1   1   1   1 lasso peptide biosynthesis B2 protein [Novosphingobium aquae]
WP_040345549.1       -          hits_all_aligned     -            5.7e-55  201.3   3.0   6.3e-55  201.1   3.0   1.0   1   0   0   1   1   1   1 MULTISPECIES: lasso peptide biosynthesis B2 protein [Brevundimonas]
WP_166766371.1       -          hits_all_aligned     -            6.7e-55  201.0   5.2   7.4e-55  200.9   5.2   1.0   1   0   0   1   1   1   1 lasso peptide biosynthesis B2 protein [Xanthomonas euroxanthea]
ODV26704.1           -          hits_all_aligned     -            7.3e-55  200.9   2.0   8.1e-55  200.8   2.0   1.0   1   0   0   1   1   1   1 MAG: hypothetical protein ABT19_02685 [Rhodanobacter sp. SCN 68-63]
